"id","hypothesis","outcome","strength","origin"
"H1","measurement artifact","PARTLY_CONFIRMED","observation_and_source_reproduction","INITIAL_PREREGISTRATION"
"H2","prefix ambiguity","REJECTED","direct_enumeration","INITIAL_PREREGISTRATION"
"H3","context distribution shift","SUPPORTED_CONTRIBUTOR_NOT_SUFFICIENT","matched_checkpoint_comparison","INITIAL_PREREGISTRATION"
"H4","teacher_forcing/free_running exact mismatch","SUPPORTED_AMPLIFIER","matched_TF_FR","INITIAL_PREREGISTRATION"
"H5","common late output-head drift","REJECTED_COMMON_CAUSE","causal_state_intervention","INITIAL_PREREGISTRATION"
"H6","attention Adam moment history alone","NOT_SUPPORTED","causal_state_intervention","INITIAL_PREREGISTRATION"
"H7","Attention path mediates mixed-context instability","SUPPORTED_MAJOR_FACTOR","multi_seed_causal_training_intervention","INITIAL_PREREGISTRATION"
"H8","L19-exclusive depth/residual mechanism","NOT_EXCLUSIVE_AT_TESTED_CONTROL","single_L18_seed2_scope_control","INITIAL_PREREGISTRATION"
"H9","HTP/device-specific cause","REJECTED","CPU_reproduction","POST_MEASUREMENT_SCOPE_SPLIT_OF_INITIAL_H9"
"H10","exhaustive hidden/gradient/moment nonfinite or float pathology","NOT_SUPPORTED_IN_SCORED_SCOPE","training_loss_and_scored_outputs_finite_not_exhaustive","POST_MEASUREMENT_SCOPE_SPLIT_OF_INITIAL_H9"
