"evidence","source","status","use"
"canonical_context_evaluation","context-shift.csv","REGENERATED_CPU","baseline_and_context_shift"
"output_optimizer_interventions","optimization-interventions.csv","HOST_ONLY","reject_common_output_head_cause"
"branch_ablation","branch-ablation.csv","HOST_ONLY_CAUSAL","identify_attention_context_path"
"gradient_attribution","qnn-l19-critical-margin-stabilization-2026-08/gradient-attribution.csv","PUBLIC_SOURCE","trajectory_timing"
"legacy_probe_training_rows","source_audit_and_token_baseline","SUPERSEDED_MEASUREMENT","excluded_from_primary_cause"
"historical_cross_seed_swap","attention_internal_diagnosis","INVALID_NOT_REUSED","excluded"
"canonical_trajectory_anchors","qnn-l19-readout-representation-diagnosis-2026-08/trajectory-anchors.csv","PUBLIC_SHA256_VERIFIED","dc32940b67e834b41d93a0f3130b36bfe0c083e2f61eba41e1ea97e3261bfb0d"
"step320_parameter_content_hash_L19_SEED_1","canonical_CPU_final_checkpoint_hash","HASH_ONLY_NO_WEIGHTS","fnv1a64:643e09a80b4de96e"
"step320_parameter_content_hash_L19_SEED_2","canonical_CPU_final_checkpoint_hash","HASH_ONLY_NO_WEIGHTS","fnv1a64:35394c806dd48fca"
"step320_parameter_content_hash_L19_SEED_4","canonical_CPU_final_checkpoint_hash","HASH_ONLY_NO_WEIGHTS","fnv1a64:ec23064d8b6a8807"
"step320_parameter_content_hash_L18_SEED_2_CONTROL","canonical_CPU_final_checkpoint_hash","HASH_ONLY_NO_WEIGHTS","fnv1a64:e56e01abc30e7449"
